"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28495","Should create task","","Wed Jul 08 13:53:54 UTC 2026","passed","Wed Jul 08 13:54:23 UTC 2026","","test.desktop.createTask.CreateTaskTest","test.desktop.createTask.CreateTaskTest","shouldCreateTask"
"","37418","Should delete task","","Wed Jul 08 13:53:55 UTC 2026","passed","Wed Jul 08 13:54:33 UTC 2026","","test.mobile.deleteTask.DeleteTaskTest","test.mobile.deleteTask.DeleteTaskTest","shouldDeleteTask"
"","27370","Should delete task","","Wed Jul 08 13:53:54 UTC 2026","passed","Wed Jul 08 13:54:22 UTC 2026","","test.desktop.deleteTask.DeleteTaskTest","test.desktop.deleteTask.DeleteTaskTest","shouldDeleteTask"
"","16503","Should view task info","","Wed Jul 08 13:53:54 UTC 2026","passed","Wed Jul 08 13:54:11 UTC 2026","","test.desktop.taskInfo.TaskInfoTest","test.desktop.taskInfo.TaskInfoTest","shouldViewTaskInfo"
"","25942","Should switch all UI text and status/priority tag values to Spanish when ES is selected","","Wed Jul 08 13:53:55 UTC 2026","passed","Wed Jul 08 13:54:21 UTC 2026","","test.desktop.translation.LanguageSupportTest","test.desktop.translation.LanguageSupportTest","shouldSwitchUIToSpanishWhenESSelected"
"","27130","Should edit task","","Wed Jul 08 13:53:54 UTC 2026","passed","Wed Jul 08 13:54:22 UTC 2026","","test.mobile.editTask.EditTaskTest","test.mobile.editTask.EditTaskTest","shouldEditTask"
"","39634","Should edit task","","Wed Jul 08 13:53:55 UTC 2026","passed","Wed Jul 08 13:54:35 UTC 2026","","test.desktop.editTask.EditTaskTest","test.desktop.editTask.EditTaskTest","shouldEditTask"
"","15756","Should view task info","","Wed Jul 08 13:53:55 UTC 2026","passed","Wed Jul 08 13:54:11 UTC 2026","","test.mobile.taskInfo.TaskInfoTest","test.mobile.taskInfo.TaskInfoTest","shouldViewTaskInfo"
"","40064","Should create task","","Wed Jul 08 13:53:55 UTC 2026","passed","Wed Jul 08 13:54:35 UTC 2026","","test.mobile.createTask.CreateTaskTest","test.mobile.createTask.CreateTaskTest","shouldCreateTask"
"","36586","Should switch all UI text and status/priority tag values to Spanish when ES is selected","","Wed Jul 08 13:53:55 UTC 2026","passed","Wed Jul 08 13:54:32 UTC 2026","","test.mobile.translation.LanguageSupportTest","test.mobile.translation.LanguageSupportTest","shouldSwitchUIToSpanishWhenESSelected"
